condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,Single-View-FT,54,1.0,0.0,1.0,,
full,Single-View-FT,55,1.0,0.0,1.0,,
full,Single-View-FT,56,1.0,0.0,1.0,,
full,Single-View-FT,57,1.0,0.0,1.0,,
full,Single-View-FT,58,1.0,0.0,1.0,,
full,Single-View-FT,59,1.0,0.0,1.0,,
full,Single-View-FT,60,1.0,0.0,1.0,,
full,Single-View-FT,61,1.0,0.0,1.0,,
full,Single-View-FT,62,1.0,0.0,1.0,,
full,Single-View-FT,63,1.0,0.0,1.0,,
full,Single-View-FT,64,1.0,0.0,1.0,,
full,Single-View-FT,65,1.0,0.0,1.0,,
full,Single-View-FT,66,1.0,0.0,1.0,,
full,Single-View-FT,67,1.0,0.0,1.0,,
full,Single-View-FT,68,0.9666666388511658,0.03333336114883423,0.0,,
